budget,popularity,runtime,size_of_cast,number_of_spoken_languages,num_production_companies,genre_Count,release_year
14000000,6.575393,93.0,24.0,1.0,3.0,1,2015
40000000,8.248895,113.0,20.0,1.0,1.0,4,2004
3300000,64.29999,105.0,51.0,1.0,3.0,1,2014
1200000,3.174936,122.0,7.0,2.0,3.0,2,2012
8000000,0.743274,83.0,14.0,1.0,2.0,2,1987
14000000,7.286477,92.0,20.0,1.0,1.0,2,2012
6000000,4.672036,91.0,59.0,2.0,4.0,2,2003
1000000,14.774066,119.0,23.0,2.0,7.0,4,1976
15000000,20.726578,122.0,24.0,2.0,3.0,2,1999
53000000,13.314233,118.0,23.0,2.0,4.0,2,2005
102000000,20.666063,145.0,10.0,3.0,7.0,3,2002
500000,1.018477,97.0,20.0,1.0,4.0,3,2010
26000000,6.336927,85.0,16.0,1.0,2.0,2,2005
8000000,6.496259,96.0,24.0,1.0,3.0,3,2011
32000000,11.359659,87.0,33.0,2.0,4.0,1,2005
80000000,12.000579,130.0,11.0,1.0,1.0,4,1998
4000000,7.99229,95.0,32.0,2.0,8.0,2,1982
10000000,4.305735,110.0,14.0,3.0,2.0,2,1997
11000000,10.841891,93.0,32.0,1.0,2.0,2,2013
6000000,6.759181,84.0,11.0,2.0,2.0,1,1986
45000000,7.81862,89.0,32.0,1.0,3.0,1,2002
13000000,16.086919,112.0,10.0,1.0,3.0,2,2011
90000000,13.412445,106.0,42.0,1.0,2.0,4,2015
140000000,9.718111,91.0,17.0,1.0,1.0,4,2007
30000000,8.234382,94.0,9.0,1.0,3.0,3,2012
50000000,13.676444,127.0,30.0,1.0,4.0,1,1995
3800000,3.055936,123.0,7.0,2.0,1.0,3,1965
3000000,9.718713,126.0,15.0,2.0,1.0,1,1967
25000000,2.971999,108.0,16.0,1.0,3.0,2,2000
6000000,9.383088,92.0,14.0,2.0,2.0,2,2014
15000000,5.615303,88.0,9.0,1.0,1.0,1,2005
3906840,2.382068,95.0,16.0,1.0,2.0,2,2009
80000000,16.646029,91.0,56.0,1.0,1.0,2,2006
44000000,20.328822,167.0,56.0,2.0,1.0,4,2015
38000000,8.105708,118.0,15.0,1.0,2.0,2,1994
560000,1.572904,102.0,16.0,1.0,1.0,2,2008
12000000,4.473327,160.0,16.0,1.0,1.0,2,1965
20000000,8.759801,107.0,31.0,3.0,5.0,2,2016
125000000,17.038824,125.0,20.0,1.0,6.0,4,1997
14000000,3.909079,95.0,6.0,1.0,2.0,2,2002
150000000,23.065078,144.0,21.0,2.0,2.0,6,2006
4000000,1.801071,105.0,19.0,1.0,1.0,1,1956
5000000,7.743144,100.0,41.0,1.0,3.0,2,1989
12000000,11.160699,115.0,36.0,3.0,3.0,2,2013
1500000,8.822276,92.0,29.0,2.0,3.0,4,1988
12000000,5.145185,108.0,71.0,2.0,5.0,3,2010
2000000,14.284787,129.0,8.0,2.0,1.0,4,1962
